p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
NLRP11	2.17651878471232e-86	0.309394776705928	0.267	0.399	3.53205468383116e-82	1	NLRP1
PRRC2C	1.34556456965924e-75	0.346872635996102	0.401	0.634	2.18358218364302e-71	1	PRRC2C
TNRC18	8.20774675304524e-65	0.253985262796518	0.456	0.705	1.33195314308418e-60	1	TNRC18
SON	3.10956401835595e-60	0.345545114660243	0.423	0.659	5.04620048898804e-56	1	SON
PRPF38B	1.1280828282112e-52	0.516508642987824	0.309	0.468	1.83065281362114e-48	1	PRPF38B
RYR1	1.61534938847686e-48	0.255970763454012	0.461	0.692	2.62138898762026e-44	1	RYR1
CSF2RA	1.06695168600172e-47	0.345786093557677	0.405	0.603	1.73144919604359e-43	1	CSF2RA
SRRM2	2.89455412996972e-45	0.313436694467298	0.447	0.691	4.69728244211486e-41	1	SRRM2
MT-CO2	3.70792910623898e-37	0.390231880276978	0.624	0.742	6.01722735360462e-33	1	MT-CO2
CACNA1A1	1.67345954453087e-35	0.253953908221331	0.427	0.587	2.7156901488647e-31	1	CACNA1A
MT-ATP6	1.48891972469524e-33	0.342657623487511	0.656	0.775	2.41621892923544e-29	1	MT-ATP6
AOAH	2.2058501918468e-28	0.28920984254101	0.678	0.846	3.57965369132899e-24	1	AOAH
SYNDIG11	4.53535296888322e-24	0.284234284759274	0.669	0.759	7.35997079790369e-20	1	SYNDIG1
RASGEF1C1	5.75260323414832e-21	0.320865322179919	0.419	0.558	9.33532452837589e-17	1	RASGEF1C
C3	5.22853827469763e-12	0.270270781059135	0.575	0.796	8.48487191217931e-08	1	C3
MT-ND2	7.92059675596595e-11	0.487611979770515	0.356	0.479	1.28535444155815e-06	1	MT-ND2
CCND3	3.71462156528567e-10	0.345177457845035	0.454	0.623	6.02808787614559e-06	1	CCND3
MT-ND4	5.90167343189515e-10	0.434947107072623	0.555	0.686	9.57723564527944e-06	1	MT-ND4
PNISR	2.13257571944097e-08	0.275989954564695	0.533	0.773	0.00034607438775088	1	PNISR
